id,key,value,type
19780759,source,PGS,regular
19780759,created_by,r_coastlines,regular
19780765,source,PGS,regular
19780765,created_by,r_coastlines,regular
19780766,source,PGS,regular
19780766,created_by,r_coastlines,regular
19780767,source,PGS,regular
19780767,created_by,r_coastlines,regular
19780768,source,PGS,regular
19780768,created_by,r_coastlines,regular
19780769,source,PGS,regular
19780769,created_by,r_coastlines,regular
19780770,source,PGS,regular
19780770,created_by,r_coastlines,regular
19780771,source,PGS,regular
19780771,created_by,r_coastlines,regular
19780772,source,PGS,regular
19780772,created_by,r_coastlines,regular
19780773,source,PGS,regular
19780773,created_by,r_coastlines,regular
19780774,source,PGS,regular
19780774,created_by,r_coastlines,regular
19780776,source,PGS,regular
19780776,created_by,r_coastlines,regular
19780777,source,PGS,regular
19780777,created_by,r_coastlines,regular
19780778,source,PGS,regular
19780778,created_by,r_coastlines,regular
19780779,source,PGS,regular
19780779,created_by,r_coastlines,regular
19780780,source,PGS,regular
19780780,created_by,r_coastlines,regular
19780781,source,PGS,regular
19780781,created_by,r_coastlines,regular
19780782,source,PGS,regular
19780782,created_by,r_coastlines,regular
19780783,source,PGS,regular
19780783,created_by,r_coastlines,regular
19780784,source,PGS,regular
19780784,created_by,r_coastlines,regular
19780785,source,PGS,regular
19780785,created_by,r_coastlines,regular
19780786,source,PGS,regular
19780786,created_by,r_coastlines,regular
19780787,source,PGS,regular
19780787,created_by,r_coastlines,regular
19780791,source,PGS,regular
19780791,created_by,r_coastlines,regular
19780792,source,PGS,regular
19780792,created_by,r_coastlines,regular
19780793,source,PGS,regular
19780793,created_by,r_coastlines,regular
19780794,source,PGS,regular
19780794,created_by,r_coastlines,regular
19780795,source,PGS,regular
19780795,created_by,r_coastlines,regular
19780796,source,PGS,regular
19780796,created_by,r_coastlines,regular
19780797,source,PGS,regular
19780797,created_by,r_coastlines,regular
19780798,source,PGS,regular
19780798,created_by,r_coastlines,regular
19780799,source,PGS,regular
19780799,created_by,r_coastlines,regular
19780804,source,PGS,regular
19780804,created_by,r_coastlines,regular
19780805,source,PGS,regular
19780805,created_by,r_coastlines,regular
19780806,source,PGS,regular
19780806,created_by,r_coastlines,regular
19780807,source,PGS,regular
19780807,created_by,r_coastlines,regular
19780808,source,PGS,regular
19780808,created_by,r_coastlines,regular
19780818,source,PGS,regular
19780818,created_by,r_coastlines,regular
19780819,source,PGS,regular
19780819,created_by,r_coastlines,regular
19780820,source,PGS,regular
19780820,created_by,r_coastlines,regular
19780821,source,PGS,regular
19780821,created_by,r_coastlines,regular
19780822,source,PGS,regular
19780871,source,PGS,regular
19780872,source,PGS,regular
19780872,created_by,r_coastlines,regular
19780873,source,PGS,regular
19780873,created_by,r_coastlines,regular
19780874,source,PGS,regular
19780874,created_by,r_coastlines,regular
19780875,source,PGS,regular
19780875,created_by,r_coastlines,regular
19780876,source,PGS,regular
