,year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,lat,long,is_hub
1328,2003,7,AA,American Airlines,STL,"St. Louis, MO: Lambert-St. Louis International",6193.0,1018.0,258.24,53.2,520.42,2.95,183.18,68.0,8.0,54990.0,17813.0,3506.0,20973.0,63.0,12635.0,38.74768694,-90.35998972,1
1338,2003,7,AS,Alaska Airlines,ANC,"Anchorage, AK: Ted Stevens Anchorage International",1779.0,290.0,84.58,3.79,39.04,16.58,146.01,80.0,1.0,12515.0,3629.0,224.0,1060.0,447.0,7155.0,61.17432028,-149.9961856,1
1357,2003,7,AS,Alaska Airlines,LAX,"Los Angeles, CA: Los Angeles International",763.0,104.0,46.72,0.0,24.67,1.0,31.62,14.0,0.0,4359.0,2458.0,0.0,727.0,15.0,1159.0,33.94253611,-118.4080744,1
1365,2003,7,AS,Alaska Airlines,PDX,"Portland, OR: Portland International",1367.0,209.0,66.38,1.1,21.58,4.0,115.95,17.0,0.0,10498.0,3717.0,126.0,593.0,99.0,5963.0,45.58872222,-122.5975,1
1372,2003,7,AS,Alaska Airlines,SEA,"Seattle, WA: Seattle/Tacoma International",4581.0,709.0,194.53,18.84,125.59,24.93,345.11,68.0,2.0,33110.0,10325.0,1401.0,3673.0,603.0,17108.0,47.44898194,-122.3093131,1
1385,2003,7,B6,JetBlue Airways,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",403.0,42.0,14.73,2.38,14.02,3.23,7.65,0.0,0.0,1707.0,506.0,296.0,453.0,114.0,338.0,26.07258333,-80.15275,1
1387,2003,7,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",2304.0,257.0,52.53,7.88,100.85,10.18,85.57,0.0,10.0,12757.0,3073.0,999.0,3836.0,310.0,4539.0,40.63975111,-73.77892556,1
1572,2003,7,DL,Delta Air Lines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",15993.0,3319.0,565.79,76.02,2027.0,2.6,647.6,148.0,40.0,179469.0,39786.0,4717.0,89420.0,123.0,45423.0,33.64044444,-84.42694444,1
1579,2003,7,DL,Delta Air Lines,BOS,"Boston, MA: Logan International",1481.0,158.0,43.07,6.08,79.81,0.0,29.04,22.0,0.0,6448.0,1742.0,462.0,2582.0,0.0,1662.0,42.3643475,-71.00517917,1
1589,2003,7,DL,Delta Air Lines,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",4528.0,850.0,170.7,17.51,511.54,1.0,149.25,48.0,16.0,43288.0,9680.0,1497.0,21484.0,25.0,10602.0,39.04614278,-84.6621725,1
1594,2003,7,DL,Delta Air Lines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1810.0,319.0,93.89,10.48,166.65,0.0,47.98,7.0,10.0,14047.0,4426.0,821.0,5604.0,0.0,3196.0,32.89595056,-97.0372,1
1595,2003,7,DL,Delta Air Lines,DTW,"Detroit, MI: Detroit Metro Wayne County",208.0,68.0,14.94,0.63,40.07,0.0,12.36,2.0,1.0,3363.0,856.0,31.0,1674.0,0.0,802.0,42.21205889,-83.34883583,1
1615,2003,7,DL,Delta Air Lines,JFK,"New York, NY: John F. Kennedy International",884.0,146.0,37.78,2.52,91.05,0.0,14.64,1.0,6.0,6759.0,2205.0,87.0,3650.0,0.0,817.0,40.63975111,-73.77892556,1
1617,2003,7,DL,Delta Air Lines,LAX,"Los Angeles, CA: Los Angeles International",1131.0,155.0,60.52,8.85,54.69,0.0,30.94,1.0,0.0,7821.0,2967.0,411.0,2356.0,0.0,2087.0,33.94253611,-118.4080744,1
1619,2003,7,DL,Delta Air Lines,LGA,"New York, NY: LaGuardia",1957.0,319.0,51.97,6.56,218.63,0.0,41.84,47.0,15.0,16706.0,2432.0,429.0,11509.0,0.0,2336.0,40.77724306,-73.87260917,1
1624,2003,7,DL,Delta Air Lines,MEM,"Memphis, TN: Memphis International",233.0,55.0,13.92,1.04,30.7,0.0,9.34,1.0,0.0,2950.0,850.0,69.0,1408.0,0.0,623.0,35.04241667,-89.97666667,1
1631,2003,7,DL,Delta Air Lines,MSP,"Minneapolis, MN: Minneapolis-St Paul International",322.0,100.0,9.73,4.01,74.27,0.0,11.99,1.0,0.0,4323.0,563.0,294.0,2554.0,0.0,912.0,44.88054694,-93.2169225,1
1639,2003,7,DL,Delta Air Lines,ORD,"Chicago, IL: Chicago O'Hare International",495.0,181.0,27.19,4.14,126.5,0.0,23.16,19.0,1.0,13041.0,1934.0,674.0,8722.0,0.0,1711.0,41.979595,-87.90446417,1
1642,2003,7,DL,Delta Air Lines,PDX,"Portland, OR: Portland International",366.0,57.0,14.93,3.8,22.41,1.0,14.86,0.0,0.0,2614.0,744.0,291.0,620.0,39.0,920.0,45.58872222,-122.5975,1
1657,2003,7,DL,Delta Air Lines,SEA,"Seattle, WA: Seattle/Tacoma International",491.0,89.0,31.34,2.72,33.16,0.0,21.78,0.0,1.0,4549.0,1658.0,265.0,1148.0,0.0,1478.0,47.44898194,-122.3093131,1
1661,2003,7,DL,Delta Air Lines,SLC,"Salt Lake City, UT: Salt Lake City International",3526.0,434.0,113.32,10.03,217.3,0.96,92.4,13.0,6.0,20602.0,6421.0,703.0,7408.0,74.0,5996.0,40.78838778,-111.9777731,1
1819,2003,7,HP,America West Airlines,CMH,"Columbus, OH: Port Columbus International",124.0,39.0,16.69,0.0,19.28,0.0,3.03,0.0,0.0,1401.0,755.0,0.0,523.0,0.0,123.0,39.99798528,-82.89188278,1
1847,2003,7,HP,America West Airlines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5938.0,650.0,243.41,17.53,219.21,5.01,164.83,42.0,10.0,37830.0,19563.0,1209.0,6967.0,103.0,9988.0,33.43416667,-112.0080556,1
1960,2003,7,NW,Northwest Airlines,ANC,"Anchorage, AK: Ted Stevens Anchorage International",186.0,43.0,24.89,1.19,14.22,0.0,2.7,0.0,0.0,1716.0,1089.0,85.0,431.0,0.0,111.0,61.17432028,-149.9961856,1
1985,2003,7,NW,Northwest Airlines,DTW,"Detroit, MI: Detroit Metro Wayne County",9548.0,1230.0,281.68,111.07,555.66,4.34,277.26,146.0,13.0,70697.0,23950.0,10650.0,20073.0,124.0,15900.0,42.21205889,-83.34883583,1
2020,2003,7,NW,Northwest Airlines,MEM,"Memphis, TN: Memphis International",2929.0,376.0,91.35,30.58,203.87,0.87,49.33,86.0,15.0,21165.0,5415.0,3762.0,8885.0,13.0,3090.0,35.04241667,-89.97666667,1
2027,2003,7,NW,Northwest Airlines,MSP,"Minneapolis, MN: Minneapolis-St Paul International",10077.0,1260.0,351.71,74.91,565.25,5.83,262.29,91.0,12.0,66598.0,24054.0,6018.0,20137.0,153.0,16236.0,44.88054694,-93.2169225,1
2389,2003,7,US,US Airways,CLT,"Charlotte, NC: Charlotte Douglas International",7160.0,1459.0,215.89,51.02,725.11,0.0,466.98,117.0,16.0,69012.0,10971.0,4739.0,26853.0,0.0,26449.0,35.21401111,-80.94312583,1
2391,2003,7,US,US Airways,DCA,"Washington, DC: Ronald Reagan Washington National",1926.0,289.0,64.47,23.82,128.11,0.0,72.61,41.0,5.0,13123.0,2757.0,1737.0,4831.0,0.0,3798.0,38.85208333,-77.03772222,1
2404,2003,7,US,US Airways,LAX,"Los Angeles, CA: Los Angeles International",350.0,115.0,42.65,6.57,18.45,0.0,47.33,0.0,1.0,7326.0,2681.0,561.0,1109.0,0.0,2975.0,33.94253611,-118.4080744,1
2417,2003,7,US,US Airways,PHL,"Philadelphia, PA: Philadelphia International",5330.0,1343.0,184.23,42.46,690.46,0.0,425.85,93.0,13.0,65624.0,9121.0,3622.0,27881.0,0.0,25000.0,39.87195278,-75.24114083,1
2418,2003,7,US,US Airways,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",241.0,58.0,14.69,3.3,21.29,0.0,18.71,0.0,1.0,3539.0,708.0,193.0,1145.0,0.0,1493.0,33.43416667,-112.0080556,1
2448,2003,7,WN,Southwest Airlines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4658.0,704.0,116.89,61.14,144.52,3.51,377.94,10.0,15.0,45933.0,5637.0,6605.0,9815.0,81.0,23795.0,39.17540167,-76.66819833,1
2465,2003,7,WN,Southwest Airlines,LAX,"Los Angeles, CA: Los Angeles International",3354.0,386.0,98.32,12.4,32.95,0.23,242.1,32.0,5.0,19001.0,4294.0,887.0,1377.0,8.0,12435.0,33.94253611,-118.4080744,1
2470,2003,7,WN,Southwest Airlines,MCO,"Orlando, FL: Orlando International",1968.0,327.0,51.81,12.0,106.99,0.0,156.19,5.0,2.0,17583.0,2374.0,795.0,4350.0,0.0,10064.0,28.42888889,-81.31602778,1
2471,2003,7,WN,Southwest Airlines,MDW,"Chicago, IL: Chicago Midway International",3880.0,763.0,114.05,64.0,232.46,3.08,349.41,20.0,33.0,44696.0,5502.0,6752.0,11111.0,100.0,21231.0,41.7859825,-87.75242444,1
2481,2003,7,WN,Southwest Airlines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5313.0,754.0,159.28,22.84,144.03,3.48,424.37,44.0,8.0,37804.0,6743.0,1670.0,5020.0,78.0,24293.0,33.43416667,-112.0080556,1
2485,2003,7,WN,Southwest Airlines,SAN,"San Diego, CA: San Diego International",2395.0,381.0,100.32,8.19,69.71,0.2,202.57,6.0,2.0,17117.0,3876.0,734.0,2185.0,3.0,10319.0,32.73355611,-117.1896567,1
2503,2003,8,AA,American Airlines,BNA,"Nashville, TN: Nashville International",469.0,122.0,37.02,13.5,33.84,0.89,36.75,11.0,3.0,9489.0,2944.0,1560.0,1893.0,32.0,3060.0,36.12447667,-86.67818222,1
